platform_id,language_id,country_id,layout_id,klo,klid,apple_id,cldr,status_id
1,tr,"Country(alpha_2='TR', alpha_3='TUR', flag='🇹🇷', name='Türkiye', numeric='792', official_name='Republic of Türkiye')",qwerty,m-tr-TR-1,,com.apple.keylayout.Turkish-QWERTY-PC,,active
1,cs,"Country(alpha_2='CZ', alpha_3='CZE', flag='🇨🇿', name='Czechia', numeric='203', official_name='Czech Republic')",qwertz,m-cs-CZ-1,,com.apple.keylayout.Czech,,active
1,tr,"Country(alpha_2='TR', alpha_3='TUR', flag='🇹🇷', name='Türkiye', numeric='792', official_name='Republic of Türkiye')",qwerty,m-tr-TR-2,,com.apple.keylayout.Turkish-QWERTY,,active
1,hr,"Country(alpha_2='HR', alpha_3='HRV', flag='🇭🇷', name='Croatia', numeric='191', official_name='Republic of Croatia')",qwerty,m-hr-HR,,com.apple.keylayout.Croatian,,active
1,cy,"Country(alpha_2='GB', alpha_3='GBR', flag='🇬🇧', name='United Kingdom', numeric='826', official_name='United Kingdom of Great Britain and Northern Ireland')",qwerty,m-cy-GB,,com.apple.keylayout.Welsh,,active
1,gu,"Country(alpha_2='IN', alpha_3='IND', flag='🇮🇳', name='India', numeric='356', official_name='Republic of India')",ૅઅેરતય,m-gu-IN-1,,com.apple.keylayout.Gujarati-QWERTY,,active
1,fa,"Country(alpha_2='AF', alpha_3='AFG', flag='🇦🇫', name='Afghanistan', numeric='004', official_name='Islamic Republic of Afghanistan')",ضصثقفغ,m-fa-AF,,com.apple.keylayout.AfghanDari,,active
1,ru,"Country(alpha_2='RU', alpha_3='RUS', flag='🇷🇺', name='Russian Federation', numeric='643')",яшерты,m-ru-RU-1,,com.apple.keylayout.Russian-Phonetic,,active
1,haw,"Country(alpha_2='US', alpha_3='USA', flag='🇺🇸', name='United States', numeric='840', official_name='United States of America')",qwerty,m-haw-US,,com.apple.keylayout.Hawaiian,,active
1,pl,"Country(alpha_2='PL', alpha_3='POL', flag='🇵🇱', name='Poland', numeric='616', official_name='Republic of Poland')",qwerty,m-pl-PL-1,,com.apple.keylayout.PolishPro,,active
